service_name,category_tree
Taglio uomo,Capelli
Taglio bimbo,Capelli
Rasatura capelli,Capelli
Shampoo + Piega,Capelli
Anticrespo,Capelli
Peeling cute,Capelli
Regolazione barba,Barba
Rasatura barba completa con lama,Barba
Taglio + Regolazione barba,Capelli
Taglio + Rasatura barba completa con lama,Capelli
Modellatura barba con lama,Barba
Taglio + Modellatura barba con lama,Capelli
Trattamento Camouflage Color Camo,Trattamento capelli
Trucco da sera,TRUCCO
Trucco Sposa,TRUCCO
Antistress parziale,MASSAGGI
Antistress Total Body 50 minuti,MASSAGGI
Ayurveda (90 min),MASSAGGI
Linfodrenante parziale,MASSAGGI
Linfodrenante totale,MASSAGGI
Anticellulite gambe + addome,MASSAGGI
Decontraente schiena,MASSAGGI
Rilassante schiena ,MASSAGGI
Riflessologia plantare,MASSAGGI
Lomi - lomi ,MASSAGGI
Cupping massage parziale,MASSAGGI
Cupping massage totale,MASSAGGI
Reiki,MASSAGGI
Mensile,CORSI YOGA
Trimestrale,CORSI YOGA
Manicure,MANI
Applicazione smalto,MANI
Semipermanente unghia corta,MANI
Rimozione Semipermanente,MANI
Copertura gel/acrilico (unghia naturale CORTA),MANI
Refill gel / acrilico,MANI
Rimozione gel,MANI
Ricostruzione unghie corta,MANI
Ricostruzione  unghie medio-lungo ,MANI
Pedicure estetico,PIEDI
Pedicure curativo,PIEDI
Applicazione smalto,PIEDI
Semipermanente,PIEDI
Pedicure estetico + semipermanente,PIEDI
Pedicure curativo + semipermanente da ,PIEDI
Riparazione acrilico (1 dito),PIEDI
Sopracciglia,EPILAZIONE
Labbro e Sopracciglia ,EPILAZIONE
Ascelle,EPILAZIONE
Inguine,EPILAZIONE
Inguine totale,EPILAZIONE
Braccia parziale,EPILAZIONE
Braccia totale,EPILAZIONE
Schiena / Petto,EPILAZIONE
Gambe + inguine,EPILAZIONE
Gambe + inguine + gluteo,EPILAZIONE
Gambe,EPILAZIONE
Gambe parziale inferiore,EPILAZIONE
Gambe parziale superiore,EPILAZIONE
Gamba uomo,EPILAZIONE
Schiena ,LASER
Braccia,LASER
Gambe parziale inferiore,LASER
Gambe parziale superiore,LASER
Gambe complete,LASER
Inguine completo ,LASER
Inguine Parziale ,LASER
Addome / lombare,LASER
Ascelle,LASER
Labiale ,LASER
Viso Completo,LASER
Peeling parziale,TRATTAMENTI CORPO
Peeling totale,TRATTAMENTI CORPO
Trattamento osmotico,TRATTAMENTI CORPO
Modelagge adipe,TRATTAMENTI CORPO
Modelagge cellulite,TRATTAMENTI CORPO
Modelagge edema / alterazioni circolatorie,TRATTAMENTI CORPO
Igiene cosmetica,TRATTAMENTI VISO
Igiene cosmetica biologica,TRATTAMENTI VISO
Glyco keenwell,TRATTAMENTI VISO
Trattamento viso express,TRATTAMENTI VISO
Trattamento viso specifico,TRATTAMENTI VISO
Exstension Ciglia One to one da,CIGLIA
Refill,CIGLIA
Microblading,TRATTAMENTI SOPRACCIGLIA
Ritocco MICROBLADING,TRATTAMENTI SOPRACCIGLIA
Laminazione ciglia,CIGLIA
Henné,TRATTAMENTI SOPRACCIGLIA
TRUCCO da giorno,TRUCCO
semipermanente unghia lunga,MANI
Copertura gel / acrilico (unghia naturale LUNGA),MANI
Mento,LASER
Manicure con applicazione smalto,MANI
Pedicure estetico con smalto,PIEDI
Pedicure curativo con applicazione smalto da,PIEDI
Petto,LASER
Massaggio in gravidanza ,MASSAGGI
Moxa,MASSAGGI
Pressoterapia + massaggio,TRATTAMENTI CORPO
Ayurveda (60 min),MASSAGGI
Limatura + taglio unghie,MANI
Riparazione unghia,MANI
Manicure spa,MANI
Pedicure spa,PIEDI
massaggio in gravidanza 30 min,MASSAGGI
MASSAGGIO EMO-MORFO-LINFATICO,MASSAGGI
Rassodante ,MASSAGGI
Trattamento funzionale,TRATTAMENTI VISO
Semipermanente con rinforzo,MANI
Laminazione sopracciglia,TRATTAMENTI SOPRACCIGLIA
Laminazione ciglia + laminazione sopracciglia,CIGLIA
Laminazione sopracciglia+ laminazione ciglia,TRATTAMENTI SOPRACCIGLIA
Pressoterapia + fango + massaggio,TRATTAMENTI CORPO
Pressoterapia + bendaggio + massaggio,TRATTAMENTI CORPO
TRILOGY Acqua e volume (11 sedute),TRATTAMENTI CORPO
TRILOGY Remise en forme (11 sedute),TRATTAMENTI CORPO
TRILOGY  Tone up ( 6 sedute) ,TRATTAMENTI CORPO
Trattamento Contorno Occhi,TRATTAMENTI VISO
Opening DETOX (5 sedute + omaggio),TRATTAMENTI CORPO
TRILOGY Acqua e volume (11 sedute),TRATTAMENTI CORPO
Glutei,LASER
BEAUTY RENEW VISO (5 sedute),TRATTAMENTI VISO
Rimozione Semipermanente,PIEDI
Diagnosi Corpo,TRATTAMENTI CORPO
Labiale *,LASER
Antistress Total Body 60 minuti,MASSAGGI
Massaggio Decontratturante- Posturale,MASSAGGI
Massaggio grotta,Grotta del Sale
Labbro ,EpilFree > Viso
Mento,EpilFree > Viso
Sopracciglia,EpilFree > Viso
Naso / Orecchie,EpilFree > Viso
Labbro + Sopracciglia,EpilFree > Viso
Labbro + Mento,EpilFree > Viso
Sopracciglia + Labbro + Mento,EpilFree > Viso
Viso Completo,EpilFree > Viso
Ascelle,EpilFree > Intimo
Bikini,EpilFree > Intimo
Brazilian,EpilFree > Intimo
Hollywood (integrale),EpilFree > Intimo
1/2 Gamba,EpilFree > Corpo
3/4 Gamba,EpilFree > Corpo
Gambe Complete,EpilFree > Corpo
1/2 Braccio,EpilFree > Corpo
Braccia Complete,EpilFree > Corpo
Petto / Pancia,EpilFree > Corpo
Schiena,EpilFree > Corpo
maggiorazione,""
Barba,Uomo
Taglio uomo + shampoo,Uomo
permanente,Uomo
taglio uomo razor + shampoo,Uomo
piega corta,Donna
piega lunga,Donna
taglio donna e piega corta,Donna
taglio e piega lunga,Uomo
applicazione colore  ,Donna
servizio tecnico ,applicazioni tecniche
Shampoo Corti,Servizi Non prenotabili
Taglio corti,Servizi Non prenotabili
Taglio Medi ,Servizi Non prenotabili
Taglio Lunghi,Servizi Non prenotabili
Piega corti,Servizi Non prenotabili
Piega Media,Servizi Non prenotabili
Piega Lunga,Servizi Non prenotabili
App. ritocco colore corti,Servizi Non prenotabili
App. Ritocco Colore Medi,Servizi Non prenotabili
App. Ritocco Colore Lunghi,Servizi Non prenotabili
App. Colore Completo Corti,Servizi Non prenotabili
App. Colore Completo Medi,Servizi Non prenotabili
App. Colore Completo Lunghi,Servizi Non prenotabili
App. Meches Corti,Servizi Non prenotabili
App. Meches Medi,Servizi Non prenotabili
App. Meches Lunghi,Servizi Non prenotabili
App. Permanente Corti,Servizi Non prenotabili
App. Permanente Medie,Servizi Non prenotabili
App. Permanente Lunghi,Servizi Non prenotabili
App. Stiraggio Corti,Servizi Non prenotabili
App. Stiraggio Medie,Servizi Non prenotabili
App. Stiraggio Lunghi,Servizi Non prenotabili
App. Tonalizzante Corti,Servizi Non prenotabili
Shampoo Medi,Servizi Non prenotabili
Shampoo Lunghi,Servizi Non prenotabili
App. Degradè Corti,Servizi Non prenotabili
App. Degradè Medi,Servizi Non prenotabili
App. Degradè Lunghi,Servizi Non prenotabili
App. Tonalizzante Medi,Servizi Non prenotabili
App. Tonalizzante Lunghi,Servizi Non prenotabili
Taglio bambina fino a 11 anni,Servizi Non prenotabili
App. Balayage Corti,Femminile > Capelli Corti > Senza Taglio
App. Balayage  Medi,Servizi Non prenotabili
App. Balayage  Lunghi,Servizi Non prenotabili
App. Ricostruzione Corti,Servizi Non prenotabili
App. Ricostruzione Medi,Servizi Non prenotabili
App. Ricostruzione Lunghi,Servizi Non prenotabili
"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Femminile > Capelli Corti > Senza Taglio
"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Femminile > Capelli Medi > Senza Taglio
"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Femminile > Capelli Lunghi > Senza Taglio
"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Femminile > Capelli Corti > Con Taglio
"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Femminile > Capelli Medi > Con Taglio
"Aggiunta Piega Piastra/ Onde/ Babyliss, Frisè",Femminile > Capelli Lunghi > Con Taglio
Taglio +Shampoo,Maschile > STILISTICO
Taglio + Shampoo + Barba,Maschile > STILISTICO
Barba all' Italiana ,Maschile > BARBA
Modellatura Barba,Maschile > BARBA
Trattamento Igienizzante,Maschile > BARBA
Taglio Baby Da (0 A 10),Maschile > STILISTICO
Trattamento Igienizzante + Maschera Depot,Maschile > BARBA
Taglio ( Rasata),Maschile > STILISTICO
Cera ascelle                                                                                                               ,Estetica > ESTETICA UOMO
Cera Braccia                                                                   ,Estetica > ESTETICA UOMO
Cera Dorso,Estetica > ESTETICA UOMO
Cera Schiena,Estetica > ESTETICA UOMO
Cera Completa Gamba,Estetica > ESTETICA UOMO
Cera Total Body ,Estetica > ESTETICA UOMO
Total Body**,Estetica > SERVIZI ESTETICA DONNA > MASSAGGI
Gambe + Glutei,Estetica > SERVIZI ESTETICA DONNA > MASSAGGI
Dorso + Schiena,Estetica > SERVIZI ESTETICA DONNA > MASSAGGI
Braccia + Viso,Estetica > SERVIZI ESTETICA DONNA > MASSAGGI
Total Body,Estetica > SERVIZI ESTETICA DONNA > MASSAGGI
Gambe + Glutei,Estetica > SERVIZI ESTETICA DONNA > MASSAGGI
Dorso + Schiena,Estetica > SERVIZI ESTETICA DONNA > MASSAGGI
Braccia + Viso,Estetica > SERVIZI ESTETICA DONNA > MASSAGGI
Sopracciglia,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Baffetto,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Sopracciglia + Baffetto,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Manicure,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Pedicure ,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Cera ascelle                                                                                                                ,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Gambaletto,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Coscia,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Inguine ,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Cera Braccia,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Semipermanente Mani,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Semipermanente Piedi,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Copertura in gel,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Ricostruzione  in gel,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Ricostruzione  unghia,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Tinta sopracciglia ,Estetica > SERVIZI ESTETICA DONNA > ESTETICA DONNA
Viso Completo,Estetica > Laser a Diodo 808
Basette,Estetica > Laser a Diodo 808
Mento e Sottomento,Estetica > Laser a Diodo 808
Orecchie,Estetica > Laser a Diodo 808
Naso,Estetica > Laser a Diodo 808
Zigomi Uomo,Estetica > Laser a Diodo 808
Zigomi + Guancia Donna ,Estetica > Laser a Diodo 808
Mani / Piedi,Estetica > Laser a Diodo 808
Ascelle,Estetica > Laser a Diodo 808
Inguine Base,Estetica > Laser a Diodo 808
