category_tree,service_name,stats_category
Non Prenotabili,App Balayage - Capelli Corti,Balayage
Non Prenotabili,App Balayage - Capelli Medi,Balayage
Non Prenotabili,App Balayage - Capelli Lunghi,Balayage
Non Prenotabili,App Balayage - Capelli Corti da,Balayage
Non Prenotabili,App Balayage - Capelli Lunghi,Balayage
Non Prenotabili,App Balayage,Balayage
Da eliminare > *Non prenotabili da Eliminare,App Balayage - Capelli Lunghi,Balayage
Capelli Medi,Balayage,Balayage
Servizi Non prenotabili,App. Balayage Lunghi,Balayage
Servizi Non prenotabili,App. Balayage,Balayage
Capelli Medi,App Balayage,Balayage
Non Prenotabili,App Balayage - Capelli Corti,Balayage
Maschile,Rasatura Barba,Barba
Maschile,Foggiatura Barba,Barba
Maschile,Rasatura a Macchinetta,Barba
Maschile,Barba Modellata,Barba
Barba,Taglio e Modellatura Barba Lunga,Barba
Barber,Sagomatura Barba,Barba
Servizi Peppe,Barba,Barba
Maschile,Barba all'Italiana (rasatura totale),Barba
Maschile,Barba,Barba
Servizi Arcangelo,Rasatura standard,Barba
Barbe,Barba e Trattamento viso,Barba
nan,Barba Modellata,Barba
Maschile,Barba Modellata,Barba
Maschile,Barba con Panno caldo,Barba
Barber,Pulizia Collo + Sagomatura Barba,Barba
nan,Modellatura barba,Barba
Maschile,Barba Deluxe + Maschera viso + Skincare (vaporizzatore),Barba
Ceretta,Labbro Superiore,Ceretta
Ceretta,Gambe intere,Ceretta
Ceretta,Gambe + Inguine,Ceretta
Ceretta,Inguine Bikini,Ceretta
Ceretta,Inguine Integrale,Ceretta
Ceretta,Braccia,Ceretta
Ceretta,Gluteo,Ceretta
Ceretta,Metà gamba inferiore,Ceretta
Ceretta,Metà gamba superiore,Ceretta
Ceretta,Ascelle,Ceretta
Estetica di Base,Ascelle,Ceretta
Ceretta,Gluteo,Ceretta
SERVIZI ESTETICA UOMO > ESTETICA UOMO,Cera Completa Gamba,Ceretta
Ceretta uomo,Gambe,Ceretta
Ceretta,Metà gamba inferiore,Ceretta
Epilazione cera classica,Epilazione Torace,Ceretta
Epilazione  > Ceretta Donna,Inguine Integrale,Ceretta
Cosmesi > Ceretta,Baffetto,Ceretta
Estetica,ceretta completa,Ceretta
Cera Brasiliana,Cera Brasiliana Ascelle,Ceretta
Epilazione,Cera Gambe,Ceretta
Ceretta > Ceretta Donna,Gambe + Inguine,Ceretta
Epilazione > Ceretta Uomo,Glutei,Ceretta
Estetica,cera totale con inguine sgambato,Ceretta
EPILAZIONI,CERETTA TOTALE,Ceretta
Estetica,Ceretta Ascelle,Ceretta
Epilazione,Ceretta inguine,Ceretta
CERETTA BRASILIANA  > Donna Corpo,Braccia Complete,Ceretta
Estetica,Ceretta Braccia,Ceretta
EPILAZIONE CERA,INGUINE PARZIALE,Ceretta
Ceretta Donna,Ascelle,Ceretta
Ceretta,Coscia,Ceretta
Ceretta Uomo,Braccia da,Ceretta
Ceretta,Dorso,Ceretta
Filo Arabo,Epilazione labbro superiore,Ceretta
Epilazione > Ceretta Uomo,Uomo ceretta Ascella,Ceretta
Depilazione cera brasiliana,Ascelle,Ceretta
Epilazione cera classica,epilazione dorso piu lombari,Ceretta
Eventi,Acconciatura Matrimonio da,Ceretta
Ceretta Uomo,Cavo Ascellare,Ceretta
Epilazione cera classica,Epilazione Labbro superiore,Ceretta
Ceretta,Baffetto,Ceretta
EPILAZIONE,Cera Inguine,Ceretta
Ceretta,Cera petto uomo,Ceretta
CERETTA BRASILIANA  > Uomo Corpo,Inguine,Ceretta
Ceretta,Inguine Bikini,Ceretta
Ceretta,Gambe + Inguine,Ceretta
Epilazione Donna,metà gamba + inguine,Ceretta
Estetica di base > Estetica di base,Ceretta braccia,Ceretta
Epilazione > Ceretta Donna,Inguine Bikini,Ceretta
Epilazione,Inguine Bikini,Ceretta
Epilazione,Pancia,Ceretta
EPILAZIONE,Cera Braccia Uomo,Ceretta
Depilazione Uomo,Petto,Ceretta
Estetica di Base,Epilazione Gamba Uomo,Ceretta
Ceretta,Inguine Integrale,Ceretta
Ceretta Classica Donna,Baffetti,Ceretta
Estetica base e trucco,Epilazione inguine,Ceretta
Depilazione Uomo,Schiena + Spalla,Ceretta
Epilazione > Ceretta Uomo,Ascelle,Ceretta
EPILAZIONE,Ascelle,Ceretta
EPILAZIONE CERA,ASCELLE,Ceretta
Trattamenti Corpo > Depilazione,Ceretta inguine bikini da,Ceretta
Estetica di base > Ceretta brasiliana > Ceretta brasiliana  DONNA,Avambracci,Ceretta
ESTETICA DONNA,Coscia,Ceretta
TRATTAMENTI CORPO,Peeling Corpo,Ceretta
Epilazione Uomo,epilazione addome,Ceretta
EPILAZIONE,Skin Inguine Brasiliano,Ceretta
Ceretta Uomo,Glutei,Ceretta
Epilazione metodo brasiliana Donna,Epilazione Seno,Ceretta
Ceretta,Braccia,Ceretta
Epilazione Donna,Mezza Gamba + Inguine Parziale + Sopracciglia + Labbro Superiore,Ceretta
Ceretta,Metà gamba inferiore,Ceretta
Ceretta,Viso Completo,Ceretta
Epilazione,Epilazione pancia,Ceretta
Epilazione Donna,Mezza Gamba + Inguine Parziale,Ceretta
Skin Donna,Skin Ascelle,Ceretta
EPILAZIONE,SKINS VISO,Ceretta
Sopracciglia,Sopracciglia Pinzetta,Ciglia/Sopracciglia
Sopracciglia,Sopracciglia con ceretta + pinzetta,Ciglia/Sopracciglia
nan,Laminazione ciglia,Ciglia/Sopracciglia
Trattamenti viso,Laminazione e colorazione sopraciglia,Ciglia/Sopracciglia
Trucco > Trattamenti Correttivi,Laminazione Ciglia,Ciglia/Sopracciglia
Non Prenotabili,App Ritocco Colore - Capelli Corti,Colore
Non Prenotabili,App Ritocco Colore - Capelli Medi,Colore
Non Prenotabili,App Ritocco Colore - Capelli Lunghi,Colore
Non Prenotabili,App Colore Completo - Capelli Corti,Colore
Non Prenotabili,App Colore Completo - Capelli Medi,Colore
Non Prenotabili,App Colore Completo - Capelli Lunghi,Colore
Non Prenotabili,App Ritocco Colore - Capelli Corti,Colore
Capelli Medi,App Colore Completo,Colore
Capelli  Medi,Colore Ricrescita,Colore
Non Prenotabili,App Ritocco Colore - Capelli Corti,Colore
Servizi Non prenotabili,App. Colore Completo Medi,Colore
Servizi Non prenotabili,APP. COLORE COMPLETO CORTI,Colore
Servizi Non prenotabili,App. Colore Completo Capelli Corti,Colore
Non Prenotabili,App Ritocco Colore - Capelli Medi,Colore
SERVIZI DONNA,COLORE COMPLETO(COMPRESO LUNGHEZZA) CAPELLI LUNGHI,Colore
Acconciature > Non Prenotabili,App Colore (radici) - Capelli Medi,Colore
Parrucchiere Donna,App. Colore Completo,Colore
Trattamento,Colore Completo,Colore
