category_tree,service_name,stats_category
Capelli,Taglio uomo,Taglio
Capelli,Taglio bimbo,Taglio
Capelli,Rasatura capelli,Barba
Capelli,Shampoo + Piega,Piega
Capelli,Anticrespo,Trattamento capelli
Capelli,Peeling cute,Pulizia cute
Barba,Regolazione barba,Barba
Barba,Rasatura barba completa con lama,Barba
Capelli,Taglio + Regolazione barba,Taglio e barba
Capelli,Taglio + Rasatura barba completa con lama,Taglio e barba
Barba,Modellatura barba con lama,Barba
Capelli,Taglio + Modellatura barba con lama,Taglio e barba
Trattamento capelli,Trattamento Camouflage Color Camo,Trattamento capelli
TRUCCO,Trucco da sera,Makeup/Trucco
TRUCCO,Trucco Sposa,Makeup/Trucco
MASSAGGI,Antistress parziale,Ceretta
MASSAGGI,Antistress Total Body 50 minuti,Massaggio
MASSAGGI,Ayurveda (90 min),Massaggio
MASSAGGI,Linfodrenante parziale,Ceretta
MASSAGGI,Linfodrenante totale,Ceretta
MASSAGGI,Anticellulite gambe + addome,Ceretta
MASSAGGI,Decontraente schiena,Massaggio
MASSAGGI,Rilassante schiena ,Massaggio
MASSAGGI,Riflessologia plantare,Balayage
MASSAGGI,Lomi - lomi ,Balayage
MASSAGGI,Cupping massage parziale,Ceretta
MASSAGGI,Cupping massage totale,Ceretta
MASSAGGI,Reiki,Balayage
CORSI YOGA,Mensile,Balayage
CORSI YOGA,Trimestrale,Balayage
MANI,Manicure,Manicure
MANI,Applicazione smalto,Manicure
MANI,Semipermanente unghia corta,Manicure
MANI,Rimozione Semipermanente,Manicure
MANI,Copertura gel/acrilico (unghia naturale CORTA),Manicure
MANI,Refill gel / acrilico,Epilazione laser
MANI,Rimozione gel,Manicure
MANI,Ricostruzione unghie corta,Manicure
MANI,Ricostruzione  unghie medio-lungo ,Manicure
PIEDI,Pedicure estetico,Pedicure
PIEDI,Pedicure curativo,Epilazione laser
PIEDI,Applicazione smalto,Epilazione laser
PIEDI,Semipermanente,Epilazione laser
PIEDI,Pedicure estetico + semipermanente,Pedicure
PIEDI,Pedicure curativo + semipermanente da ,Pedicure
PIEDI,Riparazione acrilico (1 dito),Epilazione laser
EPILAZIONE,Sopracciglia,Ciglia/Sopracciglia
EPILAZIONE,Labbro e Sopracciglia ,Ceretta
EPILAZIONE,Ascelle,Ceretta
EPILAZIONE,Inguine,Ceretta
EPILAZIONE,Inguine totale,Ceretta
EPILAZIONE,Braccia parziale,Ceretta
